elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,300.4,33,13990
0,backend-2,0.00,266.8,34,58954
0,backend-3,0.00,291.2,33,13988
5,backend-1,0.00,300.8,33,14518
5,backend-2,6.19,267.7,34,59566
5,backend-3,0.51,291.2,33,14549
10,backend-1,1.98,301.1,33,15079
10,backend-2,2.00,265.9,34,60212
10,backend-3,0.00,293.6,33,15110
15,backend-1,4.00,300.7,32,15617
15,backend-2,0.00,265.8,33,60843
15,backend-3,1.50,288.0,33,15707
20,backend-1,0.00,300.9,25,16047
20,backend-2,0.00,267.3,26,61365
20,backend-3,0.50,290.2,26,16499
25,backend-1,0.00,300.9,24,16458
25,backend-2,1.98,266.1,25,61891
25,backend-3,1.51,291.9,24,17347
30,backend-1,2.00,300.6,29,16987
30,backend-2,1.01,266.0,30,62453
30,backend-3,3.00,291.8,29,18013
35,backend-1,0.00,300.1,27,17711
35,backend-2,1.01,266.0,27,62968
35,backend-3,1.52,292.0,27,18502
40,backend-1,2.02,300.6,32,18336
40,backend-2,1.01,265.8,32,63559
40,backend-3,1.01,290.5,32,19038
45,backend-1,2.02,300.7,32,18912
45,backend-2,3.00,267.3,32,64170
45,backend-3,1.01,291.5,32,19614
50,backend-1,4.00,300.6,33,19470
50,backend-2,1.01,265.7,34,64810
50,backend-3,2.00,290.6,33,20187
55,backend-1,2.00,300.2,26,20219
55,backend-2,2.00,265.9,27,65338
55,backend-3,1.51,291.6,27,20658
60,backend-1,2.02,300.4,31,20762
60,backend-2,2.97,265.9,32,66034
60,backend-3,1.01,290.8,31,21179
65,backend-1,4.00,300.4,27,21452
65,backend-2,6.19,265.9,28,66581
65,backend-3,1.51,289.9,28,21679
70,backend-1,4.04,300.3,31,22003
70,backend-2,3.03,265.7,32,67230
70,backend-3,0.51,291.2,31,22272
75,backend-1,2.00,300.8,25,22518
75,backend-2,1.02,266.0,26,67747
75,backend-3,0.51,291.4,25,22987
80,backend-1,2.00,300.5,23,22906
80,backend-2,2.00,265.8,24,68254
80,backend-3,0.51,291.9,23,23829
85,backend-1,0.00,300.8,29,23419
85,backend-2,2.00,270.0,30,68831
85,backend-3,1.51,289.3,30,24503
90,backend-1,2.00,300.7,26,24110
90,backend-2,1.02,265.9,26,69365
90,backend-3,1.01,291.5,26,25024
95,backend-1,4.00,300.9,32,24660
95,backend-2,0.00,265.9,33,70020
95,backend-3,0.00,291.4,32,25591
100,backend-1,4.00,300.5,28,25317
100,backend-2,1.02,265.8,29,70626
100,backend-3,0.00,291.4,29,26091
105,backend-1,2.04,300.5,33,25879
105,backend-2,2.00,267.7,33,71266
105,backend-3,1.01,291.4,33,26649
110,backend-1,2.00,300.4,29,26498
110,backend-2,2.00,266.3,30,71873
110,backend-3,2.01,291.2,30,27162
116,backend-1,4.00,300.6,30,27106
116,backend-2,2.02,265.5,31,72491
116,backend-3,1.01,291.5,31,27712
