elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,70.2,0,50
0,backend-2,0.00,32.1,0,2402
0,backend-3,0.00,61.7,0,1146
5,backend-1,20.00,70.4,1,102
5,backend-2,31.00,39.6,1,2502
5,backend-3,33.67,70.7,2,1244
10,backend-1,22.22,70.5,0,152
10,backend-2,28.57,42.5,0,2603
10,backend-3,35.35,77.6,0,1343
15,backend-1,20.20,70.1,1,205
15,backend-2,29.70,43.7,0,2703
15,backend-3,34.01,71.7,2,1445
20,backend-1,20.00,70.5,0,256
20,backend-2,29.00,41.1,0,2803
20,backend-3,34.52,69.2,0,1544
25,backend-1,18.18,70.2,1,307
25,backend-2,29.00,46.3,2,2905
25,backend-3,33.50,68.9,2,1646
31,backend-1,21.78,70.3,1,357
31,backend-2,29.70,41.6,0,3006
31,backend-3,32.16,68.6,2,1745
36,backend-1,20.00,69.7,1,408
36,backend-2,31.00,39.9,2,3109
36,backend-3,34.00,67.3,2,1846
41,backend-1,22.00,70.4,1,460
41,backend-2,29.00,40.7,1,3209
41,backend-3,35.50,68.3,2,1944
46,backend-1,18.18,70.8,0,510
46,backend-2,30.00,40.8,0,3309
46,backend-3,34.85,69.3,0,2044
51,backend-1,20.00,70.4,1,562
51,backend-2,33.00,48.8,2,3414
51,backend-3,36.59,68.7,2,2142
56,backend-1,21.78,70.8,1,612
56,backend-2,29.00,49.4,0,3515
56,backend-3,34.17,69.3,2,2241
61,backend-1,20.00,70.1,0,662
61,backend-2,31.07,43.5,0,3616
61,backend-3,35.20,69.6,0,2340
66,backend-1,21.78,70.1,1,714
66,backend-2,30.69,46.0,2,3719
66,backend-3,33.50,71.9,2,2440
71,backend-1,18.18,70.2,1,765
71,backend-2,28.28,46.7,0,3819
71,backend-3,35.18,70.4,1,2539
76,backend-1,18.18,71.3,1,817
76,backend-2,31.00,48.2,2,3921
76,backend-3,34.17,69.0,2,2640
81,backend-1,23.76,70.2,1,867
81,backend-2,28.28,46.1,0,4021
81,backend-3,35.18,68.2,2,2740
86,backend-1,18.18,70.7,0,917
86,backend-2,29.70,45.2,0,4123
86,backend-3,33.50,68.3,0,2838
91,backend-1,22.00,70.3,1,968
91,backend-2,29.29,43.2,2,4225
91,backend-3,35.20,69.4,2,2940
96,backend-1,21.78,70.3,1,1019
96,backend-2,33.33,47.0,0,4326
96,backend-3,34.17,71.2,2,3038
101,backend-1,21.78,69.9,0,1069
101,backend-2,29.29,43.8,0,4426
101,backend-3,33.83,67.9,0,3138
106,backend-1,20.00,70.5,1,1121
106,backend-2,36.36,50.6,2,4528
106,backend-3,34.17,69.5,2,3239
111,backend-1,21.78,69.9,0,1171
111,backend-2,36.73,43.4,0,4631
111,backend-3,34.34,68.9,1,3336
116,backend-1,24.00,70.6,1,1224
116,backend-2,30.69,43.9,2,4734
116,backend-3,34.34,70.2,2,3435
