elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,1.98,70.8,0,400
0,backend-2,0.00,31.4,0,400
0,backend-3,0.00,61.4,0,400
5,backend-1,16.00,69.9,0,434
5,backend-2,9.09,34.2,0,433
5,backend-3,10.00,59.3,1,433
10,backend-1,12.00,69.9,1,468
10,backend-2,9.00,30.9,0,467
10,backend-3,13.50,60.7,1,467
15,backend-1,10.10,69.9,0,501
15,backend-2,13.00,30.8,0,501
15,backend-3,10.10,61.0,0,500
20,backend-1,16.00,70.1,-1,534
20,backend-2,10.00,32.2,0,534
20,backend-3,10.50,60.1,0,534
25,backend-1,10.20,70.0,0,568
25,backend-2,9.90,31.0,0,568
25,backend-3,13.57,59.5,1,568
30,backend-1,10.20,70.1,-1,602
30,backend-2,9.00,31.8,0,601
30,backend-3,10.95,61.8,0,601
35,backend-1,16.00,69.8,0,636
35,backend-2,12.87,31.4,0,635
35,backend-3,10.61,59.8,1,635
40,backend-1,14.00,70.1,1,670
40,backend-2,9.00,31.1,0,669
40,backend-3,13.57,60.6,1,669
45,backend-1,11.88,70.4,0,703
45,backend-2,9.00,31.0,0,703
45,backend-3,10.55,59.9,0,702
50,backend-1,16.00,71.3,0,737
50,backend-2,12.87,30.6,1,737
50,backend-3,10.50,61.1,0,736
55,backend-1,12.00,69.5,0,770
55,backend-2,9.00,30.5,0,770
55,backend-3,9.60,60.3,1,770
60,backend-1,12.00,70.3,-1,804
60,backend-2,9.09,31.7,1,804
60,backend-3,13.07,60.8,1,804
65,backend-1,11.88,69.7,0,838
65,backend-2,15.00,32.8,0,837
65,backend-3,10.00,59.4,1,837
70,backend-1,16.00,69.5,1,872
70,backend-2,9.09,30.8,0,871
70,backend-3,10.05,60.0,1,871
75,backend-1,12.12,70.0,0,905
75,backend-2,9.00,30.4,0,905
75,backend-3,13.07,60.3,0,904
80,backend-1,12.00,69.8,-1,938
80,backend-2,12.12,31.4,0,938
80,backend-3,10.45,60.8,0,938
85,backend-1,17.82,70.6,0,972
85,backend-2,9.90,35.6,0,972
85,backend-3,10.50,59.7,1,972
90,backend-1,12.00,69.6,-1,1006
90,backend-2,10.89,32.7,0,1005
90,backend-3,14.07,60.8,0,1005
95,backend-1,10.10,69.7,0,1040
95,backend-2,12.87,31.9,0,1039
95,backend-3,9.55,59.5,1,1039
101,backend-1,12.00,69.5,0,1073
101,backend-2,12.00,32.0,0,1073
101,backend-3,10.55,60.1,0,1072
106,backend-1,10.00,70.0,0,1107
106,backend-2,10.00,36.4,0,1107
106,backend-3,13.43,60.6,0,1106
111,backend-1,16.00,70.6,-1,1140
111,backend-2,9.09,31.0,0,1140
111,backend-3,14.00,60.4,0,1140
116,backend-1,12.00,70.2,0,1174
116,backend-2,14.00,31.2,0,1174
116,backend-3,10.10,59.6,1,1174
