elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,0.0,0,0
0,backend-2,0.00,31.0,0,1
0,backend-3,0.00,0.0,0,0
6,backend-1,0.00,70.8,1,17
6,backend-2,7.07,33.5,0,17
6,backend-3,0.00,1096.0,16,17
11,backend-1,20.00,70.0,0,58
11,backend-2,0.00,32.7,0,18
11,backend-3,0.50,2637.3,0,25
16,backend-1,0.00,70.0,0,58
16,backend-2,15.00,34.6,0,67
16,backend-3,0.00,2441.1,1,27
21,backend-1,4.00,70.0,0,58
21,backend-2,0.00,34.5,0,69
21,backend-3,17.59,61.3,0,75
26,backend-1,0.00,70.0,0,58
26,backend-2,16.83,34.1,0,117
26,backend-3,0.00,61.1,1,78
31,backend-1,0.00,70.0,0,58
31,backend-2,0.00,33.6,0,120
31,backend-3,18.00,61.2,0,125
36,backend-1,0.00,70.0,0,58
36,backend-2,17.82,33.5,0,167
36,backend-3,0.00,61.3,0,128
41,backend-1,0.00,70.2,0,62
41,backend-2,0.00,33.5,0,167
41,backend-3,18.09,62.0,0,175
46,backend-1,20.00,70.1,0,108
46,backend-2,0.00,32.6,0,171
46,backend-3,0.00,62.0,0,175
51,backend-1,3.96,70.1,0,108
51,backend-2,16.00,32.2,0,217
51,backend-3,0.00,61.5,1,180
56,backend-1,1.98,70.1,0,108
56,backend-2,0.00,32.9,0,222
56,backend-3,18.69,63.2,0,225
61,backend-1,0.00,70.1,0,108
61,backend-2,15.00,31.6,0,267
61,backend-3,0.00,62.4,1,231
66,backend-1,0.00,70.1,0,108
66,backend-2,0.00,31.7,0,273
66,backend-3,17.17,61.9,0,275
71,backend-1,1.98,70.1,0,108
71,backend-2,15.15,32.0,0,317
71,backend-3,0.00,62.0,0,281
76,backend-1,0.00,70.8,1,114
76,backend-2,0.99,32.0,0,318
76,backend-3,17.59,60.2,0,325
81,backend-1,20.41,70.9,0,157
81,backend-2,0.00,31.5,0,325
81,backend-3,0.00,60.2,0,325
86,backend-1,0.00,70.7,0,163
86,backend-2,18.37,34.7,0,368
86,backend-3,0.50,60.2,0,326
91,backend-1,21.78,70.1,0,206
91,backend-2,0.00,32.2,1,376
91,backend-3,0.50,60.2,0,326
96,backend-1,0.00,69.8,1,213
96,backend-2,16.00,32.0,0,418
96,backend-3,0.50,60.4,0,327
101,backend-1,22.00,71.8,-1,256
101,backend-2,0.00,32.0,1,426
101,backend-3,1.00,60.4,0,327
106,backend-1,0.00,72.1,1,264
106,backend-2,16.16,32.7,0,467
106,backend-3,1.99,60.2,0,328
111,backend-1,32.00,70.8,0,305
111,backend-2,0.00,32.7,1,477
111,backend-3,1.49,60.2,0,328
116,backend-1,2.00,70.8,0,305
116,backend-2,16.16,33.3,0,517
116,backend-3,1.50,61.6,1,338
