elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,71.3,0,16
0,backend-2,0.00,32.8,0,616
0,backend-3,0.00,60.7,0,568
5,backend-1,0.00,71.3,0,16
5,backend-2,27.84,43.9,0,709
5,backend-3,0.00,60.3,1,575
10,backend-1,0.00,75.7,1,20
10,backend-2,14.00,33.1,1,757
10,backend-3,17.50,60.5,0,625
15,backend-1,21.78,70.2,0,62
15,backend-2,22.22,37.4,0,812
15,backend-3,0.00,60.6,1,628
20,backend-1,0.00,70.7,1,66
20,backend-2,17.00,34.4,1,863
20,backend-3,17.17,59.9,0,675
25,backend-1,19.80,71.4,0,108
25,backend-2,19.00,33.1,0,917
25,backend-3,0.00,61.0,1,679
30,backend-1,1.98,71.8,0,112
30,backend-2,10.00,33.3,0,964
30,backend-3,17.50,59.6,0,728
35,backend-1,20.00,71.0,0,157
35,backend-2,21.78,33.2,1,1016
35,backend-3,0.00,59.7,1,733
40,backend-1,0.00,70.8,1,162
40,backend-2,13.00,35.6,0,1065
40,backend-3,18.00,60.4,0,779
45,backend-1,20.20,70.7,0,203
45,backend-2,16.16,32.1,1,1120
45,backend-3,0.00,60.9,1,785
50,backend-1,0.00,71.2,1,208
50,backend-2,13.13,37.5,0,1171
50,backend-3,16.08,64.5,0,829
55,backend-1,21.78,71.2,0,250
55,backend-2,16.16,34.7,0,1223
55,backend-3,0.00,60.9,0,835
60,backend-1,0.00,70.8,0,257
60,backend-2,18.00,33.4,0,1273
60,backend-3,18.00,60.6,0,880
65,backend-1,24.00,71.7,0,300
65,backend-2,15.15,33.2,0,1324
65,backend-3,0.00,60.3,0,888
70,backend-1,0.00,72.0,1,308
70,backend-2,18.00,34.3,0,1378
70,backend-3,14.00,60.3,0,928
75,backend-1,20.00,71.2,0,347
75,backend-2,18.81,32.8,0,1428
75,backend-3,0.00,67.5,0,939
80,backend-1,0.00,71.3,0,356
80,backend-2,17.00,33.6,2,1480
80,backend-3,18.00,62.3,0,980
86,backend-1,23.76,70.5,0,396
86,backend-2,18.18,33.5,0,1529
86,backend-3,0.00,63.3,1,991
91,backend-1,0.00,70.6,1,407
91,backend-2,16.83,32.0,1,1579
91,backend-3,17.50,60.2,0,1032
96,backend-1,20.41,71.2,0,444
96,backend-2,16.16,32.0,0,1631
96,backend-3,0.00,60.0,1,1043
101,backend-1,0.00,71.0,0,455
101,backend-2,15.15,32.6,0,1681
101,backend-3,17.59,61.5,0,1082
106,backend-1,22.00,69.8,0,492
106,backend-2,20.00,31.7,0,1733
106,backend-3,0.00,65.1,1,1095
111,backend-1,0.00,70.9,0,504
111,backend-2,15.84,31.7,0,1781
111,backend-3,17.50,61.6,0,1135
116,backend-1,20.00,70.8,0,541
116,backend-2,16.16,31.6,0,1832
116,backend-3,0.00,64.3,1,1149
