elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,1.98,84.7,0,3198
0,backend-2,0.00,39.0,0,3198
0,backend-3,0.00,70.5,0,3197
5,backend-1,47.52,90.7,1,3315
5,backend-2,38.61,44.7,0,3314
5,backend-3,39.00,79.4,-1,3314
10,backend-1,48.00,92.0,0,3434
10,backend-2,33.33,49.3,2,3433
10,backend-3,37.88,81.2,0,3433
15,backend-1,43.56,93.6,0,3550
15,backend-2,36.36,48.8,0,3550
15,backend-3,37.00,74.7,0,3550
20,backend-1,44.00,96.7,0,3669
20,backend-2,37.00,51.6,0,3669
20,backend-3,39.20,76.9,1,3669
25,backend-1,48.00,93.3,-1,3788
25,backend-2,33.00,50.3,2,3788
25,backend-3,39.39,72.8,1,3788
30,backend-1,46.00,99.4,0,3905
30,backend-2,35.64,50.6,0,3905
30,backend-3,36.55,73.5,-2,3904
35,backend-1,44.00,98.2,0,4024
35,backend-2,37.76,49.4,3,4024
35,backend-3,38.69,78.7,0,4023
40,backend-1,48.00,90.9,0,4141
40,backend-2,32.32,45.9,0,4140
40,backend-3,39.70,80.6,0,4140
45,backend-1,48.00,90.8,1,4260
45,backend-2,35.35,47.9,2,4259
45,backend-3,39.90,84.5,-1,4259
50,backend-1,42.42,92.7,0,4376
50,backend-2,38.61,46.3,0,4376
50,backend-3,37.00,78.0,1,4376
55,backend-1,48.48,93.0,-1,4495
55,backend-2,33.00,48.8,2,4495
55,backend-3,37.81,75.8,1,4495
60,backend-1,46.46,94.9,0,4612
60,backend-2,34.00,50.5,2,4612
60,backend-3,41.03,81.2,-1,4611
65,backend-1,43.56,89.7,0,4729
65,backend-2,34.34,46.7,0,4728
65,backend-3,34.83,77.2,-2,4728
70,backend-1,46.00,90.1,0,4848
70,backend-2,35.00,43.9,1,4847
70,backend-3,40.00,78.3,0,4847
75,backend-1,50.49,90.4,-2,4964
75,backend-2,32.32,51.1,0,4964
75,backend-3,38.19,78.8,-1,4964
81,backend-1,46.00,94.2,0,5083
81,backend-2,35.64,50.7,0,5083
81,backend-3,40.00,75.9,1,5083
86,backend-1,40.82,93.9,-1,5202
86,backend-2,35.35,47.6,2,5202
86,backend-3,37.19,76.6,1,5202
91,backend-1,50.00,93.1,0,5319
91,backend-2,33.66,52.9,0,5319
91,backend-3,40.82,74.3,-2,5318
96,backend-1,48.48,97.0,0,5438
96,backend-2,39.00,47.0,3,5438
96,backend-3,40.00,74.7,0,5437
101,backend-1,45.54,90.5,0,5555
101,backend-2,34.69,47.0,0,5554
101,backend-3,35.35,81.1,0,5554
106,backend-1,48.00,94.6,-2,5671
106,backend-2,32.32,52.0,0,5671
106,backend-3,37.88,75.5,-3,5671
111,backend-1,48.48,91.5,0,5790
111,backend-2,34.34,52.0,1,5790
111,backend-3,38.19,74.8,1,5790
116,backend-1,43.56,91.7,-3,5907
116,backend-2,34.65,55.7,0,5907
116,backend-3,35.86,77.3,-2,5906
