elapsed_s,backend_id,cpu_percent,avg_latency_ms,active_connections,total_requests
0,backend-1,0.00,2113.7,0,2011
0,backend-2,0.00,1591.8,8,3716
0,backend-3,0.00,1696.4,0,2398
5,backend-1,0.00,2113.7,2,2013
5,backend-2,100.00,1480.3,1,3738
5,backend-3,0.00,2141.3,16,2428
10,backend-1,99.03,814.7,20,2055
10,backend-2,99.02,1276.0,0,3778
10,backend-3,99.50,1309.6,-2,2452
15,backend-1,100.00,2176.3,0,2058
15,backend-2,45.54,1425.6,2,3802
15,backend-3,0.00,1802.1,16,2485
20,backend-1,0.00,704.9,20,2088
20,backend-2,99.01,1183.8,0,3818
20,backend-3,99.50,1632.2,-6,2509
25,backend-1,100.00,748.3,6,2111
25,backend-2,100.00,697.3,7,3856
25,backend-3,54.00,1835.5,7,2546
30,backend-1,100.00,682.7,6,2136
30,backend-2,99.07,1740.7,6,3900
30,backend-3,99.50,956.4,6,2578
35,backend-1,99.03,919.1,19,2168
35,backend-2,100.00,1854.9,-1,3927
35,backend-3,99.51,835.5,1,2588
41,backend-1,26.00,2318.4,0,2168
41,backend-2,0.00,1330.6,2,3948
41,backend-3,0.50,650.1,18,2642
46,backend-1,0.00,1198.0,20,2200
46,backend-2,100.00,1854.9,0,3976
46,backend-3,99.03,931.0,0,2653
51,backend-1,100.00,1359.0,-1,2207
51,backend-2,0.00,1618.2,8,4011
51,backend-3,85.07,412.8,12,2698
56,backend-1,0.00,1471.4,7,2235
56,backend-2,100.00,1690.6,0,4031
56,backend-3,77.50,770.6,13,2733
61,backend-1,100.00,1433.1,0,2245
61,backend-2,0.00,1787.0,10,4070
61,backend-3,99.50,686.9,10,2771
66,backend-1,0.00,1289.5,17,2272
66,backend-2,100.00,1495.0,-3,4092
66,backend-3,99.51,375.6,3,2796
71,backend-1,100.00,1000.6,1,2285
71,backend-2,0.00,1025.6,10,4131
71,backend-3,99.50,1138.8,9,2840
76,backend-1,100.00,768.6,6,2311
76,backend-2,100.00,812.9,6,4160
76,backend-3,0.00,1332.0,7,2875
81,backend-1,71.29,2296.6,9,2346
81,backend-2,97.00,801.7,8,4200
81,backend-3,99.13,1212.9,3,2891
86,backend-1,100.00,658.4,-2,2357
86,backend-2,99.01,1762.5,0,4238
86,backend-3,99.00,869.0,19,2934
91,backend-1,15.38,2131.2,0,2377
91,backend-2,0.00,596.5,20,4279
91,backend-3,99.01,1811.8,0,2938
96,backend-1,0.00,1734.4,13,2392
96,backend-2,99.02,1262.1,4,4298
96,backend-3,3.94,1486.2,3,2976
101,backend-1,99.01,964.5,6,2404
101,backend-2,4.95,1628.4,5,4337
101,backend-3,99.51,1034.0,5,3005
106,backend-1,100.00,796.0,7,2415
106,backend-2,100.00,1794.8,-2,4360
106,backend-3,54.00,2263.2,13,3041
111,backend-1,92.16,685.7,6,2439
111,backend-2,0.00,1490.6,7,4400
111,backend-3,99.51,644.3,6,3076
116,backend-1,100.00,825.6,-1,2443
116,backend-2,99.00,903.2,14,4446
116,backend-3,99.01,1885.4,0,3112
